arena,controller,success_rate,mean_spl,mean_path_length_cm,mean_blocked_steps,mean_target_switches,mean_forced_replans,mean_fraction_graph_mode,n
lwall,baseline_neural,0.16666666666666666,0.1374814936613563,344.0,178.91666666666666,0.0,0.0,0.0,24
lwall,pc_loose_topograph_full_hybrid,0.9583333333333334,0.7783156056938303,253.25,0.0,4.75,0.5833333333333334,0.47020311393651854,24
lwall,pc_medium_topograph_full_hybrid,0.9583333333333334,0.8102168279424458,242.25,0.0,4.583333333333333,0.6666666666666666,0.4661289801733261,24
lwall,pc_strict_topograph_full_hybrid,0.875,0.7209581234097495,354.75,0.0,4.333333333333333,0.6666666666666666,0.502854825445983,24
lwall,placebasis_loose_topograph_full_hybrid,0.9583333333333334,0.777084859907117,241.25,0.0,4.708333333333333,0.75,0.48305405743559365,24
lwall,placebasis_medium_topograph_full_hybrid,0.9583333333333334,0.7846981269532876,239.0,0.0,4.541666666666667,0.5833333333333334,0.46972140977701987,24
lwall,placebasis_strict_topograph_full_hybrid,0.9166666666666666,0.7401827219016771,316.25,0.0,4.458333333333333,0.625,0.5073979497426202,24
lwall,position_topograph_arbitrated,0.9583333333333334,0.7977742364783139,248.25,0.0,4.5,0.7083333333333334,0.4837758742971834,24
lwall,position_topograph_full_hybrid,0.9166666666666666,0.7446810142369777,320.75,0.0,4.541666666666667,0.7083333333333334,0.4847717068267987,24
lwall,position_topograph_geometric,0.9583333333333334,0.7306052437095895,306.25,0.0,4.416666666666667,0.7083333333333334,0.5063933765509713,24
lwall,sc_loose_topograph_full_hybrid,0.9166666666666666,0.7118820132978231,345.5,0.0,4.291666666666667,0.6666666666666666,0.511463154955388,24
lwall,sc_medium_topograph_full_hybrid,0.9583333333333334,0.6923657582480631,360.25,0.0,4.708333333333333,0.6666666666666666,0.5154107900347588,24
lwall,sc_strict_topograph_full_hybrid,0.9583333333333334,0.8152119993767298,261.75,0.0,4.416666666666667,0.6666666666666666,0.47774328552329703,24
lwall,wall_aware_neural,0.9166666666666666,0.8584660443281834,260.0,0.0,0.0,0.0,0.0,24
lwall,waypoint_memory_hybrid,1.0,0.9424728179472023,124.0,0.0,1.0,0.0,0.35922452552776424,24
open,baseline_neural,0.4166666666666667,0.3243357869959404,602.0,70.375,0.0,0.0,0.0,24
open,pc_loose_topograph_full_hybrid,1.0,1.0,87.75,0.0,0.0,1.375,0.0,24
open,pc_medium_topograph_full_hybrid,1.0,1.0,87.25,0.0,0.0,1.375,0.0,24
open,pc_strict_topograph_full_hybrid,1.0,1.0,87.5,0.0,0.0,1.375,0.0,24
open,placebasis_loose_topograph_full_hybrid,1.0,1.0,87.0,0.0,0.0,1.375,0.0,24
open,placebasis_medium_topograph_full_hybrid,1.0,1.0,87.25,0.0,0.0,1.375,0.0,24
open,placebasis_strict_topograph_full_hybrid,1.0,1.0,87.5,0.0,0.0,1.375,0.0,24
open,position_topograph_arbitrated,1.0,1.0,87.0,0.0,0.0,1.375,0.0,24
open,position_topograph_full_hybrid,1.0,1.0,87.25,0.0,0.0,1.375,0.0,24
open,position_topograph_geometric,1.0,1.0,87.25,0.0,0.0,1.375,0.0,24
open,sc_loose_topograph_full_hybrid,1.0,1.0,87.5,0.0,0.0,1.375,0.0,24
open,sc_medium_topograph_full_hybrid,1.0,1.0,87.25,0.0,0.0,1.375,0.0,24
open,sc_strict_topograph_full_hybrid,1.0,1.0,87.0,0.0,0.0,1.375,0.0,24
open,wall_aware_neural,1.0,0.995242796734063,91.0,0.0,0.0,0.0,0.0,24
scorridor,baseline_neural,0.041666666666666664,0.034865407251222426,78.5,255.70833333333334,0.0,0.0,0.0,24
scorridor,pc_loose_topograph_full_hybrid,0.7083333333333334,0.5152158475629757,717.75,0.0,9.375,1.0833333333333333,0.6136686131340191,24
scorridor,pc_medium_topograph_full_hybrid,0.75,0.5701444341632539,642.5,0.0,9.541666666666666,1.2083333333333333,0.5893697100003379,24
scorridor,pc_strict_topograph_full_hybrid,0.75,0.5473635332564656,669.5,0.0,9.5,1.1666666666666667,0.5985675015806405,24
scorridor,placebasis_loose_topograph_full_hybrid,0.75,0.5576241177684302,655.0,0.0,9.666666666666666,1.1666666666666667,0.594604390986905,24
scorridor,placebasis_medium_topograph_full_hybrid,0.75,0.550065923100538,662.0,0.0,9.666666666666666,1.1666666666666667,0.5971656049213945,24
scorridor,placebasis_strict_topograph_full_hybrid,0.6666666666666666,0.5062469149430977,752.0,0.0,9.125,1.0833333333333333,0.6132782952578847,24
scorridor,position_topograph_arbitrated,0.75,0.5446398102935531,668.5,0.0,9.625,1.1666666666666667,0.598240278608086,24
scorridor,position_topograph_full_hybrid,0.7083333333333334,0.5324534248804879,695.75,0.0,9.458333333333334,1.125,0.601882669070099,24
scorridor,position_topograph_geometric,0.7083333333333334,0.5251967328792081,712.5,0.0,9.458333333333334,1.0833333333333333,0.6075660128256717,24
scorridor,sc_loose_topograph_full_hybrid,0.75,0.5422016054491315,675.25,0.0,9.708333333333334,1.1666666666666667,0.5995615415197187,24
scorridor,sc_medium_topograph_full_hybrid,0.75,0.5367015008934162,704.25,0.0,9.625,1.25,0.5995966908022023,24
scorridor,sc_strict_topograph_full_hybrid,0.6666666666666666,0.4934869521947036,760.75,0.0,9.458333333333334,1.0,0.6165876794393153,24
scorridor,wall_aware_neural,0.25,0.24888849545067251,1275.2499999999998,0.0,0.0,0.0,0.0,24
uwall,baseline_neural,0.20833333333333334,0.15477421058959817,66.5,214.95833333333334,0.0,0.0,0.0,24
uwall,pc_loose_topograph_full_hybrid,0.9583333333333334,0.7481076369408127,249.25,0.0,6.125,0.7916666666666666,0.526516969390204,24
uwall,pc_medium_topograph_full_hybrid,0.9583333333333334,0.7317961521822416,271.0,0.0,6.125,0.75,0.5382087919076529,24
uwall,pc_strict_topograph_full_hybrid,0.9583333333333334,0.7681140037256985,245.5,0.0,6.333333333333333,0.8333333333333334,0.5111318856015857,24
uwall,placebasis_loose_topograph_full_hybrid,1.0,0.7947763095459291,201.0,0.0,6.666666666666667,0.8333333333333334,0.5006199588249464,24
uwall,placebasis_medium_topograph_full_hybrid,1.0,0.7810212163884337,207.0,0.0,6.708333333333333,0.9166666666666666,0.5028652025492004,24
uwall,placebasis_strict_topograph_full_hybrid,0.9583333333333334,0.7751954329255729,247.75,0.0,6.083333333333333,0.7916666666666666,0.5110818096710789,24
uwall,position_topograph_arbitrated,0.9166666666666666,0.704286717802721,322.5,0.0,5.916666666666667,0.7083333333333334,0.5466554493792756,24
uwall,position_topograph_full_hybrid,0.9583333333333334,0.7599736105051004,247.25,0.0,6.291666666666667,0.8333333333333334,0.5100036730614533,24
uwall,position_topograph_geometric,0.9583333333333334,0.7174316158252422,281.0,0.0,6.625,0.7916666666666666,0.5454621559936444,24
uwall,sc_loose_topograph_full_hybrid,0.9583333333333334,0.7181344080112816,270.5,0.0,6.25,0.75,0.540749870085575,24
uwall,sc_medium_topograph_full_hybrid,1.0,0.7717935877318355,203.75,0.0,6.958333333333333,0.8333333333333334,0.5131637856137047,24
uwall,sc_strict_topograph_full_hybrid,0.9583333333333334,0.7468985075812435,253.25,0.0,6.166666666666667,0.75,0.5307878628457227,24
uwall,wall_aware_neural,0.25,0.25,1274.75,0.0,0.0,0.0,0.0,24
